business_name,category,description,keyvals,product_link,product_name,regular_price,sale_price
tls,wine,,"{""What You Will Get:"": ""1 bottle of Johnnie Walker Red Label Blended Scotch Whisky"", ""Volumn:"": ""1000ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/johnnie-walker-red-label-blended-scotch-whisky-1l,Johnnie Walker Red Label Blended Scotch Whisky 1L,[57.99],[67.9]
tls,wine,,"{""What You Will Get:"": ""1 Bottle of Famous Grouse Scotch Whisky 75cl"", ""Volume:"": ""750ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Blended whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/famous-grouse-scotch-whisky-75cl,Famous Grouse Scotch Whisky 75cl,[50.8],[65.9]
tls,wine,,"{""What You Will Get:"": ""1 Bottle of Balvenie 14 Year Peated Week"", ""Volume:"": ""700ml"", ""Alcohol Percentage:"": ""48.3%"", ""Type:"": ""Single Malt whisky\u00a0(Scotch Whisky)""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/balvenie-14-year-peated-week-70cl,Balvenie 14 Year Peated Week 70cl,[179.8],[199.9]
tls,wine,,"{""Volume"": ""70cl"", ""ABV"": ""43%"", ""Type"": ""Single Malt whisky\u00a0(Scotch Whisky)"", ""Age"": ""17"", ""With Box"": ""yes""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/balvenie-17-year-double-wood-70cl,Balvenie 17 Year Double wood 70cl,[388.0],[388.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Akashi Single Malt Japanese Whisky Red Wine Cask Finish #61592 700ml"", ""Volume:"": ""700ml"", ""Alcohol Percentage:"": ""50.5%"", ""Type:"": ""Single Malt\u00a0Whisky (Japanese whisky)""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/akashi-red-wine-cask-finish-61592-japanese-whisky-70cl,Akashi Single Malt Japanese Whisky Red Wine Cask Finish #61592 70cl,[350.0],[488.0]
tls,wine,,"{""Volume"": ""700ml."", ""ABV"": ""40%"", ""Type"": ""Single Malt Scotch Whisky"", ""Age"": ""21"", ""With Box"": ""Yes""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/aberfeldy-21-years-old-70cl,Aberfeldy 21 Years old 70cl,[265.0],[399.0]
tls,wine,,"{""Volume"": ""75cl."", ""ABV"": ""40%"", ""Type"": ""Single Malt Scotch Whisky"", ""Age"": ""12"", ""-"": ""-""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/aberfeldy-12-years-old-70cl,Aberfeldy 12 Years old 75cl,[80.95],[108.0]
tls,wine,,"{""What You Will Get:"": ""1 Bottle\u00a0Yamazakura Fine Blended Whisky"", ""Volume:"": ""700ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Blended Whisky\u00a0(Japanese whisky)""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/yamazakura-fine-blended-whisky,Yamazakura Fine Blended Whisky,[128.9],[139.8]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Yamazakura Blended Whisky"", ""Volume:"": ""700ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Blended Whisky\u00a0(Japanese whisky)""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/yamazakura-blended-whisky,Yamazakura Blended Whisky,[129.8],[169.8]
tls,wine,,"{""Distillery"": ""Teeling"", ""Classification"": ""Single Malt"", ""ABV/ Volume"": ""46.0% / 70cl""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/teeling-single-malt-whisky,Teeling Single Malt Whisky,[115.0],[120.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Teacher's Highland Cream Whisky"", ""Volumn:"": ""1000ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/teachers-highland-cream-100cl,Teacher's Highland Cream 100cl (1 litre),[57.9],[75.0]
tls,wine,,"{""Distillery"": ""Teeling"", ""Classification"": ""Blended"", ""ABV/ Volume"": ""46.0% / 70cl""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/teeling-small-batch-whisky,Teeling Small Batch Whisky,[88.0],[139.0]
tls,wine,,"{""Distillery"": ""Teeling"", ""Classification"": ""Single Grain"", ""ABV/Volume"": ""46.0% / 75cl""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/teeling-single-grain-whisky,Teeling Single Grain Whisky,[105.0],[110.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Teacher's Highland Cream Whisky"", ""Volumn:"": ""700ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/teachers-highland-cream-whisky-70cl,Teacher's Highland Cream 70cl,[42.9],[58.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Teacher's Highland Cream Whisky"", ""Volumn:"": ""200ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/teachers-highland-cream-20cl,Teacher's Highland Cream 20cl,[23.95],[28.9]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Teacher's Highland Cream Whisky"", ""Volumn:"": ""350ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/teachers-highland-cream,Teacher's Highland Cream 35cl,[35.0],[37.0]
